,ID,Tweet,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Polarity,Emotions,ProcessedText,Handle,DerivedDate,hhmmss,DayCat
9,9,"RT @bradleyjames22: @EssexPR @easyJet Yer his being a dickhead,

I am just saying and from working in the industry and personel experience,…",FALSE,0,NA,1/30/2018 15:06,FALSE,NA,9.58E+17,NA,"<a href=""http://www.flightrefunds.org.uk"" rel=""nofollow"">rtlocation8</a>",Flight_Refunds,1,TRUE,FALSE,NA,NA,negative,unknown,"RT @bradleyjames22: @EssexPR @easyJet Yer his being a dickhead,

I am just saying and from working in the industry and personel experience,…",@easyJet,1/30/2018 15:06,15:06:00,Noon
10,10,@bhx_official @Ryanair @easyJet @britishairways ... And obviously make you millions <ed><U+00A0><U+00BD><ed><U+00B2><U+00B8> of dollar!!!! .... <ed><U+00A0><U+00BE><ed><U+00B4><U+0091><ed><U+00A0><U+00BE><ed><U+00B4><U+0091><ed><U+00A0><U+00BE><ed><U+00B4,FALSE,0,Lu_cia85,1/30/2018 15:06,FALSE,9.58E+17,9.58E+17,3257860563,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Lu_cia85,0,FALSE,FALSE,NA,NA,neutral,unknown,@bhx_official @Ryanair @easyJet @britishairways ... And obviously make you millions <ed><ed> of dollar!!!! .... <ed><ed><ed><ed><ed><ed>,@easyJet,1/30/2018 15:06,15:06:00,Noon
11,11,@JaiP72 @EssexPR @easyJet_press @easyJet Appreciate that - they called and apologised for how it was handled and of… https://t.co/2mYqzuM4Xr,FALSE,1,JaiP72,1/30/2018 15:05,TRUE,9.58E+17,9.58E+17,89781989,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jamiec1979,0,FALSE,FALSE,NA,NA,positive,joy,@JaiP72 @EssexPR @easyJet_press @easyJet Appreciate that - they called and apologised for how it was handled and of… t.co/2mYqzuM4Xr,@easyJet,1/30/2018 15:05,15:05:00,Noon
12,12,@EssexPR @easyJet Mr @JoeCessnaPilot has only 6 followers so is either some sort of troll or friendless either of w… https://t.co/6ihRBBwqLS,FALSE,0,EssexPR,1/30/2018 15:05,TRUE,9.58E+17,9.58E+17,41702018,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jackiehandleyva,0,FALSE,FALSE,NA,NA,positive,unknown,@EssexPR @easyJet Mr @JoeCessnaPilot has only 6 followers so is either some sort of troll or friendless either of w… t.co/6ihRBBwqLS,@easyJet,1/30/2018 15:05,15:05:00,Noon
13,13,"@bjarm_ @easyJet Yeah, the public bus takes about 25 mins from airport to city centre from memory so taxi will be q… https://t.co/PxHivI7v7h",FALSE,0,bjarm_,1/30/2018 15:04,TRUE,9.58E+17,9.58E+17,229843417,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",leonsopinion,0,FALSE,FALSE,NA,NA,neutral,unknown,"@bjarm_ @easyJet Yeah, the public bus takes about 25 mins from airport to city centre from memory so taxi will be q… t.co/PxHivI7v7h",@easyJet,1/30/2018 15:04,15:04:00,Noon
14,14,@EssexPR @easyJet Absolutely @easyJet it shouldn’t even be a consideration to to refund this family’s money,FALSE,3,EssexPR,1/30/2018 15:03,FALSE,9.58E+17,9.58E+17,41702018,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NicolaMcLean,1,FALSE,FALSE,NA,NA,positive,unknown,@EssexPR @easyJet Absolutely @easyJet it shouldn’t even be a consideration to to refund this family’s money,@easyJet,1/30/2018 15:03,15:03:00,Noon
15,15,"RT @bradleyjames22: @EssexPR @easyJet I am not saying its a scam it is just a situation for travel insurance. 

Easy Jet (rightly or wrongl…",FALSE,0,NA,1/30/2018 15:03,FALSE,NA,9.58E+17,NA,"<a href=""http://www.flightrefunds.org.uk"" rel=""nofollow"">rtlocation8</a>",Flight_Refunds,2,TRUE,FALSE,NA,NA,positive,unknown,"RT @bradleyjames22: @EssexPR @easyJet I am not saying its a scam it is just a situation for travel insurance. 

Easy Jet (rightly or wrongl…",@easyJet,1/30/2018 15:03,15:03:00,Noon
16,16,Any chance of introducing flights to Brindisi from @bhx_official with @Ryanair @easyJet or @britishairways ??? Woul… https://t.co/QshzFONCTP,FALSE,0,NA,1/30/2018 15:03,TRUE,NA,9.58E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Lu_cia85,0,FALSE,FALSE,NA,NA,positive,unknown,Any chance of introducing flights to Brindisi from @bhx_official with @Ryanair @easyJet or @britishairways ??? Woul… t.co/QshzFONCTP,@easyJet,1/30/2018 15:03,15:03:00,Noon
17,17,"@jamiec1979 @EssexPR @easyJet_press @easyJet Was just about to email the UK customer director for you. Glad it’s sorted.
@",FALSE,2,jamiec1979,1/30/2018 15:03,FALSE,9.58E+17,9.58E+17,64406588,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JaiP72,0,FALSE,FALSE,NA,NA,negative,anger,"@jamiec1979 @EssexPR @easyJet_press @easyJet Was just about to email the UK customer director for you. Glad it’s sorted.
@",@easyJet,1/30/2018 15:03,15:03:00,Noon
18,18,"@mandiedandrapa1 @easyJet We have, 352 apparently each for us tho",FALSE,0,mandiedandrapa1,1/30/2018 15:03,FALSE,9.58E+17,9.58E+17,9.58E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",swfcbarry,0,FALSE,FALSE,NA,NA,positive,unknown,"@mandiedandrapa1 @easyJet We have, 352 apparently each for us tho",@easyJet,1/30/2018 15:03,15:03:00,Noon
20,20,@EssexPR @easyJet Hear hear Adam - Joe where's your compassion - it's pocket change to them!  -@easyJet do the right thing !!,FALSE,0,EssexPR,1/30/2018 15:03,FALSE,9.58E+17,9.58E+17,41702018,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TheCPAgency,0,FALSE,FALSE,NA,NA,positive,unknown,@EssexPR @easyJet Hear hear Adam - Joe where's your compassion - it's pocket change to them!  -@easyJet do the right thing !!,@easyJet,1/30/2018 15:03,15:03:00,Noon
21,21,"@easyJet hello easyjet, yesterday i smoked a cigarette in the bathroom of your plane to not disturb anyone with the… https://t.co/JoUHDd4cD0",FALSE,0,easyJet,1/30/2018 15:02,TRUE,NA,9.58E+17,38676903,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RookruimtesBV,0,FALSE,FALSE,NA,NA,negative,unknown,"@easyJet hello easyjet, yesterday i smoked a cigarette in the bathroom of your plane to not disturb anyone with the… t.co/JoUHDd4cD0",@easyJet,1/30/2018 15:02,15:02:00,Noon
22,22,@EssexPR @easyJet First class c*****,FALSE,0,EssexPR,1/30/2018 15:02,FALSE,9.58E+17,9.58E+17,41702018,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",itsaregary,0,FALSE,FALSE,NA,NA,positive,unknown,@EssexPR @easyJet First class c*****,@easyJet,1/30/2018 15:02,15:02:00,Noon
23,23,"Well done @easyJet <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>
*sorry for rant .... * https://t.co/i2KvNEmk9A",FALSE,8,NA,1/30/2018 15:02,FALSE,NA,9.58E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EssexPR,0,FALSE,FALSE,NA,NA,positive,joy,"Well done @easyJet <ed><ed><ed><ed><ed><ed><ed><ed>
*sorry for rant .... * t.co/i2KvNEmk9A",@easyJet,1/30/2018 15:02,15:02:00,Noon
24,24,I’m still so sad I payed £100 for an @easyJet plane ticket so expensive <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9>,FALSE,0,NA,1/30/2018 15:02,FALSE,NA,9.58E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rachx0_,0,FALSE,FALSE,NA,NA,negative,sadness,I’m still so sad I payed £100 for an @easyJet plane ticket so expensive <ed><ed>,@easyJet,1/30/2018 15:02,15:02:00,Noon
25,25,"@jamiec1979 @JoeCessnaPilot @easyJet Ha I can’t retweet that one Jamie 
Have they issued full refund",FALSE,1,jamiec1979,1/30/2018 15:01,FALSE,9.58E+17,9.58E+17,64406588,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EssexPR,1,FALSE,FALSE,NA,NA,positive,unknown,"@jamiec1979 @JoeCessnaPilot @easyJet Ha I can’t retweet that one Jamie 
Have they issued full refund",@easyJet,1/30/2018 15:01,15:01:00,Noon
28,28,"@EssexPR @easyJet_press @easyJet They’ve called my partner mate, they’ve sorted it for us. Thanks for your help x",FALSE,1,EssexPR,1/30/2018 15:00,FALSE,9.58E+17,9.58E+17,41702018,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jamiec1979,0,FALSE,FALSE,NA,NA,positive,unknown,"@EssexPR @easyJet_press @easyJet They’ve called my partner mate, they’ve sorted it for us. Thanks for your help x",@easyJet,1/30/2018 15:00,15:00:00,Noon
29,29,@EssexPR @easyJet After reading through your friends issue is with the comments by Easy Jet and I agree they are st… https://t.co/Lcb95ioqHz,FALSE,0,bradleyjames22,1/30/2018 14:59,TRUE,9.58E+17,9.58E+17,355407893,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",bradleyjames22,0,FALSE,FALSE,NA,NA,positive,unknown,@EssexPR @easyJet After reading through your friends issue is with the comments by Easy Jet and I agree they are st… t.co/Lcb95ioqHz,@easyJet,1/30/2018 14:59,14:59:00,Noon
30,30,@JoeCessnaPilot @jackiehandleyva @jamiec1979 @easyJet Spot on.,FALSE,0,JoeCessnaPilot,1/30/2018 14:59,FALSE,9.58E+17,9.58E+17,9.45E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TheLagboat,0,FALSE,FALSE,NA,NA,negative,unknown,@JoeCessnaPilot @jackiehandleyva @jamiec1979 @easyJet Spot on.,@easyJet,1/30/2018 14:59,14:59:00,Noon
31,31,"RT @EssexPR: @bradleyjames22 @easyJet It’s his 8 year old girl . It’s not a scam , it’s not a move 
Proof of the situation should mean @eas…",FALSE,0,NA,1/30/2018 14:59,FALSE,NA,9.58E+17,NA,"<a href=""https://www.easyflightrefunds.co.uk"" rel=""nofollow"">EasyFlightRefunds</a>",EzFlightRefunds,2,TRUE,FALSE,NA,NA,negative,unknown,"RT @EssexPR: @bradleyjames22 @easyJet It’s his 8 year old girl . It’s not a scam , it’s not a move 
Proof of the situation should mean @eas…",@easyJet,1/30/2018 14:59,14:59:00,Noon
32,32,@JoeCessnaPilot @EssexPR @easyJet Is that why a representative from EasyJet has just called my partner and apologis… https://t.co/Zlst1fZ2yh,FALSE,0,JoeCessnaPilot,1/30/2018 14:59,TRUE,9.58E+17,9.58E+17,9.45E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jamiec1979,0,FALSE,FALSE,NA,NA,positive,unknown,@JoeCessnaPilot @EssexPR @easyJet Is that why a representative from EasyJet has just called my partner and apologis… t.co/Zlst1fZ2yh,@easyJet,1/30/2018 14:59,14:59:00,Noon
33,33,@bradleyjames22 @easyJet They may do if I push the shaming enough ...,FALSE,1,bradleyjames22,1/30/2018 14:59,FALSE,9.58E+17,9.58E+17,355407893,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EssexPR,0,FALSE,FALSE,NA,NA,positive,unknown,@bradleyjames22 @easyJet They may do if I push the shaming enough ...,@easyJet,1/30/2018 14:59,14:59:00,Noon
34,34,"RT @bradleyjames22: @EssexPR @easyJet I am not saying its a scam it is just a situation for travel insurance. 

Easy Jet (rightly or wrongl…",FALSE,0,NA,1/30/2018 14:59,FALSE,NA,9.58E+17,NA,"<a href=""https://www.easyflightrefunds.co.uk"" rel=""nofollow"">EasyFlightRefunds</a>",EzFlightRefunds,2,TRUE,FALSE,NA,NA,positive,unknown,Can someone look into this awful situation please @easyJet_press @easyJet t.co/bDIBZy3HUq,@easyJet,1/30/2018 14:59,14:59:00,Noon
35,35,Can someone look into this awful situation please @easyJet_press @easyJet https://t.co/bDIBZy3HUq,FALSE,1,NA,1/30/2018 14:58,FALSE,NA,9.58E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EssexPR,1,FALSE,FALSE,NA,NA,neutral,fear,@JoeCessnaPilot @EssexPR @easyJet Nice guy,@easyJet,1/30/2018 14:58,14:58:00,Noon
36,36,@JoeCessnaPilot @EssexPR @easyJet Nice guy,FALSE,1,JoeCessnaPilot,1/30/2018 14:58,FALSE,9.58E+17,9.58E+17,9.45E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Craig_Spur,0,FALSE,FALSE,NA,NA,positive,unknown,"@EssexPR @easyJet Yer his being a dickhead,

I am just saying and from working in the industry and personel experie… t.co/O2CVutteDO",@easyJet,1/30/2018 14:58,14:58:00,Noon
37,37,"@EssexPR @easyJet Yer his being a dickhead,

I am just saying and from working in the industry and personel experie… https://t.co/O2CVutteDO",FALSE,1,EssexPR,1/30/2018 14:57,TRUE,9.58E+17,9.58E+17,41702018,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",bradleyjames22,1,FALSE,FALSE,NA,NA,positive,unknown,"@EssexPR @easyJet Hope it is o.k to respond to Joe in this way, but i too agree with him and i'm sure many people w… t.co/g4G9OPtMFa",@easyJet,1/30/2018 14:57,14:57:00,Noon
38,38,"@EssexPR @easyJet Hope it is o.k to respond to Joe in this way, but i too agree with him and i'm sure many people w… https://t.co/g4G9OPtMFa",FALSE,0,EssexPR,1/30/2018 14:57,TRUE,9.58E+17,9.58E+17,41702018,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",thewingateone,0,FALSE,FALSE,NA,NA,positive,unknown,"@JoeCessnaPilot @EssexPR @easyJet Why? She’s asleep, and I’ll do what the fuck I like.",@easyJet,1/30/2018 14:57,14:57:00,Noon
39,39,"@JoeCessnaPilot @EssexPR @easyJet Why? She’s asleep, and I’ll do what the fuck I like.",FALSE,3,JoeCessnaPilot,1/30/2018 14:57,FALSE,9.58E+17,9.58E+17,9.45E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jamiec1979,0,FALSE,FALSE,NA,NA,positive,joy,@jamiec1979 @EssexPR @easyJet You knew full well when you booked that the airline is non refundable.,@easyJet,1/30/2018 14:57,14:57:00,Noon
40,40,"RT @EssexPR: @bradleyjames22 @easyJet It’s his 8 year old girl . It’s not a scam , it’s not a move 
Proof of the situation should mean @eas…",FALSE,0,NA,1/30/2018 14:56,FALSE,NA,9.58E+17,NA,"<a href=""http://www.flightrefunds.org.uk"" rel=""nofollow"">rtlocation8</a>",Flight_Refunds,2,TRUE,FALSE,NA,NA,negative,unknown,@jamiec1979 @JoeCessnaPilot @easyJet But now I’m making it about the money to make sure she gets that holiday she d… t.co/9OBitp12Ca,@easyJet,1/30/2018 14:56,14:56:00,Noon
41,41,@jamiec1979 @EssexPR @easyJet You knew full well when you booked that the airline is non refundable.,FALSE,0,jamiec1979,1/30/2018 14:56,FALSE,9.58E+17,9.58E+17,64406588,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",JoeCessnaPilot,0,FALSE,FALSE,NA,NA,positive,surprise,@alongdustyroads @easyJet This could certainly be a thing! #PlaneDress,@easyJet,1/30/2018 14:56,14:56:00,Noon
42,42,@jamiec1979 @JoeCessnaPilot @easyJet But now I’m making it about the money to make sure she gets that holiday she d… https://t.co/9OBitp12Ca,FALSE,2,jamiec1979,1/30/2018 14:56,TRUE,9.58E+17,9.58E+17,64406588,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EssexPR,0,FALSE,FALSE,NA,NA,positive,unknown,"RT @JoeCessnaPilot: @EssexPR @easyJet These things happen, it doesn’t mean companies have to change their policies to suit. They fly 80mill…",@easyJet,1/30/2018 14:56,14:56:00,Noon
43,43,@alongdustyroads @easyJet This could certainly be a thing! #PlaneDress,FALSE,1,alongdustyroads,1/30/2018 14:56,FALSE,9.58E+17,9.58E+17,2469682753,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BordersofAdv,0,FALSE,FALSE,NA,NA,positive,unknown,"@jamiec1979 @EssexPR @easyJet Tell your sidekick then, because he seems to think it’s all about the money.",@easyJet,1/30/2018 14:56,14:56:00,Noon
44,44,"RT @JoeCessnaPilot: @EssexPR @easyJet These things happen, it doesn’t mean companies have to change their policies to suit. They fly 80mill…",FALSE,0,NA,1/30/2018 14:55,FALSE,NA,9.58E+17,NA,"<a href=""http://www.flightrefunds.org.uk"" rel=""nofollow"">rtlocation8</a>",Flight_Refunds,1,TRUE,FALSE,NA,NA,negative,unknown,@bradleyjames22 @easyJet Check out the pricks tweet mate and see why few of us are hitting back..,@easyJet,1/30/2018 14:55,14:55:00,Noon
45,45,"@jamiec1979 @EssexPR @easyJet Tell your sidekick then, because he seems to think it’s all about the money.",FALSE,0,jamiec1979,1/30/2018 14:55,FALSE,9.58E+17,9.58E+17,64406588,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",JoeCessnaPilot,0,FALSE,FALSE,NA,NA,positive,unknown,"RT @bradleyjames22: @EssexPR @easyJet This is the issue Adam I agree with you, but in reality all of these things are non refundable I had…",@easyJet,1/30/2018 14:55,14:55:00,Noon
46,46,@bradleyjames22 @easyJet Check out the pricks tweet mate and see why few of us are hitting back..,FALSE,0,bradleyjames22,1/30/2018 14:55,FALSE,9.58E+17,9.58E+17,355407893,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EssexPR,0,FALSE,FALSE,NA,NA,positive,unknown,@JoeCessnaPilot @EssexPR @easyJet What she didn’t expect is someone from their customer services to say is there’s… t.co/EaLLTJAWZ1,@easyJet,1/30/2018 14:55,14:55:00,Noon
47,47,"RT @bradleyjames22: @EssexPR @easyJet This is the issue Adam I agree with you, but in reality all of these things are non refundable I had…",FALSE,0,NA,1/30/2018 14:55,FALSE,NA,9.58E+17,NA,"<a href=""http://www.flightrefunds.org.uk"" rel=""nofollow"">rtlocation8</a>",Flight_Refunds,1,TRUE,FALSE,NA,NA,positive,surprise,RT @JoeCessnaPilot: @EssexPR @easyJet You’d refund him straight away based on only his word? I’d don’t think you’d be in business very long…,@easyJet,1/30/2018 14:55,14:55:00,Noon
48,48,@JoeCessnaPilot @EssexPR @easyJet What she didn’t expect is someone from their customer services to say is there’s… https://t.co/EaLLTJAWZ1,FALSE,3,JoeCessnaPilot,1/30/2018 14:54,TRUE,9.58E+17,9.58E+17,9.45E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jamiec1979,0,FALSE,FALSE,NA,NA,positive,joy,"@EssexPR @easyJet I am not saying its a scam it is just a situation for travel insurance. 

Easy Jet (rightly or wr… t.co/xf4ePNDoCU",@easyJet,1/30/2018 14:54,14:54:00,Noon
49,49,RT @JoeCessnaPilot: @EssexPR @easyJet You’d refund him straight away based on only his word? I’d don’t think you’d be in business very long…,FALSE,0,NA,1/30/2018 14:54,FALSE,NA,9.58E+17,NA,"<a href=""http://www.flightrefunds.org.uk"" rel=""nofollow"">rtlocation8</a>",Flight_Refunds,1,TRUE,FALSE,NA,NA,positive,unknown,"@JoeCessnaPilot @EssexPR @easyJet What entitlement? He asked and they flatly said no. 

No discretion and from what… t.co/zMjk3BTZGf",@easyJet,1/30/2018 14:54,14:54:00,Noon
50,50,"@EssexPR @easyJet I am not saying its a scam it is just a situation for travel insurance. 

Easy Jet (rightly or wr… https://t.co/xf4ePNDoCU",FALSE,1,EssexPR,1/30/2018 14:54,TRUE,9.58E+17,9.58E+17,41702018,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",bradleyjames22,2,FALSE,FALSE,NA,NA,positive,unknown,@jamiec1979 @EssexPR @easyJet Get off Twitter then and concentrate on your daughter!,@easyJet,1/30/2018 14:54,14:54:00,Noon
51,51,"@JoeCessnaPilot @EssexPR @easyJet What entitlement? He asked and they flatly said no. 

No discretion and from what… https://t.co/zMjk3BTZGf",FALSE,1,JoeCessnaPilot,1/30/2018 14:54,TRUE,9.58E+17,9.58E+17,9.45E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MrJrWarner,0,FALSE,FALSE,NA,NA,positive,unknown,"@EssexPR @easyJet Only later does he mention a doctors note, nothing about that in the original tweet!",@easyJet,1/30/2018 14:54,14:54:00,Noon
52,52,@jamiec1979 @EssexPR @easyJet Get off Twitter then and concentrate on your daughter!,FALSE,0,jamiec1979,1/30/2018 14:53,FALSE,9.58E+17,9.58E+17,64406588,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",JoeCessnaPilot,0,FALSE,FALSE,NA,NA,negative,sadness,Whether city- or business trip - @easyJet offers with the beginning of the new summer timetable 42 new destinations… t.co/sj2oqnFeyZ,@easyJet,1/30/2018 14:53,14:53:00,Noon
53,53,"@EssexPR @easyJet Only later does he mention a doctors note, nothing about that in the original tweet!",FALSE,0,EssexPR,1/30/2018 14:53,FALSE,9.58E+17,9.58E+17,41702018,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",JoeCessnaPilot,0,FALSE,FALSE,NA,NA,positive,unknown,@JoeCessnaPilot @EssexPR @easyJet £800 that could do him better off while likely taking time off work to tend to a… t.co/jHqLAxIAS0,@easyJet,1/30/2018 14:53,14:53:00,Noon
